Date,Open,High,Low,Close,Adj Close,Volume
7/22/2021,19.6420002,19.88699913,19.27599907,19.59399986,19.52646065,323826000
7/23/2021,19.65600014,19.70000076,19.25,19.55800056,19.49058533,195672000
7/26/2021,19.31100082,19.44199944,18.91399956,19.29400063,19.22749138,203943000
7/27/2021,19.26499939,19.62199974,18.74099922,19.20800018,19.14178848,248863000
7/28/2021,19.31900024,19.64599991,18.99500084,19.50300026,19.43577385,202191000
7/29/2021,19.5189991,19.85300064,19.32799911,19.66200066,19.59422684,190781000
7/30/2021,19.41799927,19.62999916,19.26300049,19.49900055,19.43178558,183497000
8/2/2021,19.70000076,19.96100044,19.36100006,19.75,19.68192482,217444000
8/3/2021,19.73999977,20.22200012,19.21999931,19.81500053,19.74669456,301811000
8/4/2021,19.98999977,20.31800079,19.82799911,20.27400017,20.20411682,231309000
8/5/2021,20.5,20.7329998,20.34199905,20.63699913,20.56586075,211435000
8/6/2021,20.52400017,20.56999969,20.20999908,20.36599922,20.29579926,178497000
8/9/2021,20.44599915,20.50799942,20.14299965,20.29500008,20.22504234,146443000
8/10/2021,20.3220005,20.43000031,19.83499908,19.93600082,19.86728096,179238000
8/11/2021,20.04299927,20.04899979,19.43000031,19.6989994,19.63109779,185925000
8/12/2021,19.87000084,20.02899933,19.62000084,19.90500069,19.83638954,151652000
8/13/2021,19.90500069,20.2140007,19.85099983,20.18799973,20.11841202,183063000
8/16/2021,20.13500023,20.28700066,19.45299911,19.95000076,19.88123512,210876000
8/17/2021,19.68499947,19.77000046,19.2670002,19.45800018,19.39092636,204585000
8/18/2021,19.5,19.63400078,19,19.04000092,18.97436714,285913000
8/19/2021,19.49399948,20.49500084,18.76199913,19.79800034,19.72975731,766555000
8/20/2021,19.99099922,20.86499977,19.93300056,20.81599998,20.74425125,675741000
8/23/2021,20.97100067,21.99699974,20.95000076,21.95800018,21.88231468,575807000
8/24/2021,21.75300026,21.95899963,21.53499985,21.79299927,21.71787643,297299000
8/25/2021,21.73699951,22.46999931,21.72200012,22.21299934,22.13643074,347701000
8/26/2021,22.20000076,22.34000015,21.79000092,22.06800079,21.99193573,237940000
8/27/2021,22.18400002,22.72200012,22.16699982,22.63599968,22.55797386,304722000
8/30/2021,22.82999992,23.04299927,22.5510006,22.68799973,22.60979652,262580000
8/31/2021,22.69499969,22.69499969,22.12000084,22.38500023,22.31177521,259850000
9/1/2021,22.48500061,22.6970005,22.35700035,22.44099998,22.36759377,201767000
9/2/2021,22.51799965,22.59300041,22.29500008,22.39599991,22.32273865,187834000
9/3/2021,22.32500076,22.98600006,22.20000076,22.84300041,22.76827621,280532000
9/7/2021,22.83300018,22.89900017,22.52199936,22.66200066,22.58786774,198107000
9/8/2021,22.51300049,22.61000061,21.97699928,22.3390007,22.26592636,254434000
9/9/2021,22.31200027,22.53800011,22.13100052,22.17700005,22.10445404,196856000
9/10/2021,22.34799957,22.62599945,22.27000046,22.47800064,22.40447235,248376000
9/13/2021,22.68400002,22.9640007,21.8579998,22.15200043,22.07953453,297500000
9/14/2021,22.27499962,22.40999985,22.08600044,22.24200058,22.16924286,199755000
9/15/2021,22.30900002,22.36700058,21.9659996,22.3409996,22.26791763,166538000
9/16/2021,22.18300056,22.27700043,21.92700005,22.24200058,22.16924286,156033000
9/17/2021,22.29999924,22.32099915,21.82999992,21.89999962,21.8283596,294503000
9/20/2021,21.14599991,21.43300056,20.66200066,21.11300087,21.04393578,349440000
9/21/2021,21.41699982,21.42499924,20.95000076,21.24600029,21.17650223,204688000
9/22/2021,21.36599922,21.95999908,21.19599915,21.94099998,21.86922836,268726000
9/23/2021,22.13999939,22.53499985,21.88999939,22.48200035,22.4084568,248555000
9/24/2021,22.06999969,22.14900017,21.86100006,22.08099937,22.00876617,217655000
9/27/2021,21.70999908,21.79899979,21.32500076,21.65999985,21.58914566,245215000
9/28/2021,21.2140007,21.41900063,20.65099907,20.6989994,20.63128471,343069000
9/29/2021,20.94000053,21.0170002,20.46699905,20.5170002,20.44988441,218394000
9/30/2021,20.76799965,21.06599998,20.68799973,20.7159996,20.64823341,221009000
10/1/2021,20.75,20.85899925,20.20299911,20.74200058,20.67414856,240978000
10/4/2021,20.50399971,20.54199982,19.55500031,19.73200035,19.66745377,345635000
10/5/2021,19.95000076,20.64800072,19.85400009,20.45100021,20.38409996,279282000
10/6/2021,20.12000084,20.71999931,20.07999992,20.70000076,20.63228416,297202000
10/7/2021,21.09199905,21.3220005,20.97200012,21.07500076,21.00605583,256919000
10/8/2021,21.10099983,21.20599937,20.77499962,20.83099937,20.76285744,151258000
10/11/2021,20.57500076,21.06299973,20.51099968,20.69499969,20.62730408,163388000
10/12/2021,20.82799911,21.05699921,20.52799988,20.67099953,20.6033802,162134000
10/13/2021,20.91799927,20.98999977,20.71299934,20.93899918,20.87050056,180652000
10/14/2021,21.28800011,21.75499916,21.12199974,21.74600029,21.67486382,243589000
10/15/2021,21.80999947,21.93099976,21.66200066,21.86199951,21.79048538,226994000
10/18/2021,21.74900055,22.29100037,21.6439991,22.22200012,22.14930916,189494000
10/19/2021,22.27599907,22.37899971,22.03700066,22.29000092,22.21708298,161473000
10/20/2021,22.30500031,22.43300056,21.98200035,22.10300064,22.03069687,146276000
10/21/2021,22.09700012,22.71100044,22.08300018,22.69199944,22.61777115,187590000
10/22/2021,22.82299995,23.12999916,22.56100082,22.72599983,22.6516552,249384000
10/25/2021,22.97299957,23.35499954,22.77000046,23.16600037,23.0902195,230235000
10/26/2021,23.98900032,25.25900078,23.92399979,24.71699905,24.63614273,485898000
10/27/2021,24.47400093,25.09000015,24.28199959,24.45100021,24.37101746,245990000
10/28/2021,24.87800026,24.95000076,24.52300072,24.94099998,24.85941124,234204000
10/29/2021,25.00099945,25.70899963,25,25.56699944,25.4833622,292503000
11/1/2021,25.64900017,25.8939991,25.22699928,25.82699966,25.74251747,265740000
11/2/2021,25.8220005,26.6779995,25.79999924,26.40099907,26.31463432,294112000
11/3/2021,26.67000008,26.7840004,26.23500061,26.59799957,26.51099205,239910000
11/4/2021,27.22900009,31.36499977,27.11800003,29.8010006,29.7035141,1153631000
11/5/2021,30.18700027,31.39999962,29.40999985,29.75200081,29.65467453,851260000
11/8/2021,30.14900017,31.10000038,29.90699959,30.80400085,30.70323372,503101000
11/9/2021,32.2820015,32.31000137,29.9640007,30.65699959,30.5567112,646746000
11/10/2021,29.3560009,30.85000038,28.77799988,29.45899963,29.36263466,636206000
11/11/2021,30.46800041,30.59000015,29.77700043,30.38999939,30.29058647,332172000
11/12/2021,30.01000023,30.68000031,29.62999916,30.38999939,30.29058647,413054000
11/15/2021,30.55200005,30.6439991,29.24699974,30.02499962,29.92677879,384909000
11/16/2021,29.75900078,30.38999939,29.70599937,30.20299911,30.10419655,264484000
11/17/2021,30.41799927,30.50900078,28.79999924,29.26099968,29.1652813,428508000
11/18/2021,32.36700058,32.75999832,31.32099915,31.67499924,31.57138252,781711000
11/19/2021,32.24300003,33.08800125,31.90500069,32.98500061,32.87709808,533867000
11/22/2021,33.51699829,34.64699936,31.89999962,31.95599937,31.85146141,754335000
